event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
MEX95693,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","LGBTQ+ (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Baja California",Ensenada,,"San Quintin",30.5626,-115.9433,1,"La Jornada",National,"Around 22 November 2024 (as reported), in San Quintin, Baja California, members of the LGBTQ+ community marched from the park in Ejido Nuevo Mexicali to the park in Ejido Lazaro Cardenas to honor transgender people who lost their lives to violence in the state and Mexico and to demand equality.",0,"crowd size=no report",1732580204,5047,5939,15168,5047
MEX95702,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Baja California",Tijuana,,Tijuana,32.5325,-117.019,1,"AFN - Tijuana; La Jornada",Subnational-National,"Around 22 November 2024 (as reported), in Tijuana, Baja California, unionized firefighters protested against the ISSSTECALI reform that would postpone their retirement age to 68 years.",0,"crowd size=no report",1732580204,8664,51062,54534,8664
MEX95707,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Campeche,Campeche,,"San Francisco de Campeche",19.8448,-90.5396,1,"Tribuna Campeche",Subnational,"Around 22 November 2024 (as reported), in San Francisco de Campeche, Campeche, owners of land expropriated by the Federal Government for the Mayan Train project protested in front of the project's offices to demand the payment of compensations.",0,"crowd size=no report",1732580204,11992,42048,234206,11992
MEX95778,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Guerrero,"Acapulco de Juarez",,"Acapulco de Juarez",16.8619,-99.8866,2,"El Sol de Acapulco",Subnational,"Around 22 November 2024 (as reported), around Acapulco (coded to Acapulco de Juarez), Guerrero, residents of the towns of El Canton, Apalani, Huamuchitos, Barrio Nuevo de los Muertos, and Garrapatas occupied Papagayo I water distribution facilities and turned off the system for unknown reasons.",0,"crowd size=no report",1732580204,6003,24485,53920,6003
MEX95779,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Women (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Guerrero,"Acapulco de Juarez",,"Acapulco de Juarez",16.8619,-99.8866,1,"El Sol de Acapulco",Subnational,"Around 22 November 2024 (as reported), in Acapulco de Juarez, Guerrero, the widows and children of two public servants who died on duty protested in front of the Government Palace to demand the payment of their life insurances and other benefits.",0,"crowd size=no report",1732580204,6003,24485,53920,6003
MEX95791,"22 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Students (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Guerrero,"Chilpancingo de los Bravo",,"Chilpancingo de los Bravo",17.5516,-99.5011,1,"La Jornada",National,"On 22 November 2024, in Chilpancingo de los Bravo, Guerrero, normalista students from Ayotzinapa protested at the Monument to the 43 against the reduction in the 2025 budget for rural normal schools.",0,"crowd size=no report",1732580205,12433,42798,23006,12433
MEX95795,"22 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Hidalgo,"Pachuca de Soto",,"Pachuca de Soto",20.1224,-98.737,1,"La Silla Rota",National,"On 22 November 2024, in Pachuca de Soto, Hidalgo, at least 50 residents of Colonias Haciendas de Hidalgo, Carruaje, La Herradura, Las Torres, Esmeralda and Electricistas organized a human chain to block Santa Catarina boulevard, by Fraccionamiento Pitahayas, to protest against the construction of an immigration center in the area.",0,"crowd size=at least 50",1732580205,24351,55383,145362,24351
MEX95852,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Students (Mexico); Women (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Morelos,Cuernavaca,,Cuernavaca,18.9218,-99.2349,1,"Diario de Morelos",Subnational,"Around 22 November 2024 (as reported), in Cuernavaca, Morelos, students of the Faculty of Law and Social Sciences of the Autonomous University of Morelos (UAEM), and members of the University Students Movement and the association 'Girls against Institutional Violence' protested in front of the faculty to demand the dismissal of teachers accused of violence and harassment.",0,"crowd size=no report",1732580205,13677,28625,24545,13677
MEX95931,"22 November 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Sinaloa,Mazatlan,,Mazatlan,23.2003,-106.4222,1,Riodoce,Subnational,"Around 22 November 2024 (as reported), in Mazatlan, Sinaloa, around 400 people who had been displaced from the south of the state due to security reasons attempted to enter the town hall to demand housing solutions. Police officers closed the doors and prevented them from entering the premises.",0,"crowd size=around 400",1732580206,21039,31681,142316,21039
MEX95949,"22 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Health Workers (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Tamaulipas,"San Fernando",,"San Fernando",24.8487,-98.1596,1,"Hoy Tamaulipas",Subnational,"On 22 November 2024, in San Fernando, Tamaulipas, employees of the VII Health Jurisdiction and members of the National Union of Health Secretariat Workers (SNTSA) occupied the Management and Human Resources offices to demand outstanding payments.",0,"crowd size=no report",1732580206,3306,18194,28818,3306
MEX95964,"22 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Teachers (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Xalapa,,Xalapa-Enriquez,19.5271,-96.9226,1,"Imagen del Golfo",Subnational,"On 22 November 2024, in Xalapa-Enriquez, Veracruz de Ignacio de la Llave, teachers from Coscomatepe protested in front of the State Congress to demand the intervention of the Secretariat of Education to solve unspecified labor disputes.",0,"crowd size=no report",1732580206,26179,81248,190585,26179
