,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
0,MEX89271,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Farmers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Tamaulipas,San Fernando,,San Fernando,24.8487,-98.1596,2,El Universal (Mexico); Hoy Tamaulipas,Subnational-National,"On 26 June 2024, near San Fernando, Tamaulipas, around 40 farmers blocked the Reynosa-Monterrey highway after the Ministry of Agriculture and Rural Development failed to deliver resources for the commercialization of the sorghum harvest.",0,crowd size=around 40,1719876473
1,MEX89285,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Chilpancingo de los Bravo,,Chilpancingo de los Bravo,17.5516,-99.5011,1,El Sol de Acapulco,Subnational,"On 26 June 2024, in Chilpancingo de los Bravo, Guerrero, cleaning workers at health centers in Acapulco demonstrated at the headquarters of the Ministry of Health to demand payment of salaries owed to them.",0,crowd size=no report,1719876473
2,MEX89286,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Chilpancingo de los Bravo,,Chilpancingo de los Bravo,17.5516,-99.5011,1,El Sol de Acapulco,Subnational,"On 26 June 2024, in Chilpancingo de los Bravo, Guerrero, nearly 700 pensioners from the Ministry of Public Security and the State Attorney General's Office demonstrated at the Government Palace to demand the payment of pensions that have been pending since February. They gathered at La Avispa Interactive Museum and marched to the Government Palace.",0,crowd size=nearly 700,1719876473
3,MEX89303,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico); Lawyers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Tamaulipas,Tampico,,Tampico,22.2161,-97.8584,1,Hoy Tamaulipas; Milenio,Subnational-National,"On 26 June 2024, in Tampico, Tamaulipas, lawyers, union leaders, and workers blocked streets in front of the Special Federal Board of Conciliation and Arbitration number 39 in protest against the closure of these facilities and the consequent transfer of files and operations to Ciudad Victoria. According to the demonstrators, the transfer of files would affect the current cases and would require more economic efforts from the victims. They also argue that there is not enough staff to work in all the cases that would be transferred.",0,crowd size=no report,1719876535
4,MEX89330,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Cuauhtemoc,,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,1,Milenio,National,"On 26 June 2024, in Ciudad de Mexico - Cuauhtemoc, students from the Raul Isidro Burgos rural normal school in Ayotzinapa, Guerrero, accompanied by parents of the missing students marched to demand truth, justice and punishment for those responsible for the disappearance of the 43 normalistas. They gathered at the Angel de la Independencia and marched to the Hemiciclo a Juarez.",0,crowd size=no report,1719876535
5,MEX89331,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Taxi/Bus Drivers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Nuevo Leon,Monterrey,,Monterrey,25.6647,-100.3110,1,La Jornada,National,"On 26 June 2024, in Monterrey, Nuevo Leon, dozens of taxi drivers demonstrated demanding that the process to obtain the letter of no criminal record and the renewal of licenses for taxi transportation be resolved since without these documents they cannot work. Three groups of taxi drivers including Taxis Soberanos, Union de taxis Nuevo Leon and Taxis Lealtad gathered in front of the Government Palace, demanding a hearing to try to resolve the conflict and then marched towards the State Congress. The taxi drivers stated that the problem has been ongoing for two years.",0,crowd size=dozens,1719876535
6,MEX89368,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Tixtla de Guerrero,,Tixtla de Guerrero,17.5667,-99.3983,1,El Sol de Acapulco,Subnational,"On 26 June 2024, in Tixtla de Guerrero, Guerrero, parents of students of primary school demonstrated to demand the dismissal of the preschool director, whom they accuse of being rude and arrogant.",0,crowd size=no report,1719876535
7,MEX89369,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Jalisco,Guadalajara,,Guadalajara,20.6764,-103.3422,1,El Siglo de Durango,National,"On 26 June 2024, in Guadalajara, Jalisco, nearly 500 people gathered in the center of the city to march and raise people's awareness about cycling rights, as well as to reject the indiscriminate use of automobiles and dependence on fossil fuels.",0,crowd size=nearly 500,1719876535
8,MEX89370,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Michoacan de Ocampo,Tarimbaro,,Tarimbaro,19.7957,-101.1764,1,MiMorelia,Subnational,"On 26 June 2024, in Tarimbaro, Michoacan de Ocampo, parents of students of a primary school in fraccionamiento Puerta del Sol, demonstrated to demand that registration fees be lowered, for a director to be hired, and that a supervisor be hired with public funds.",0,crowd size=no report,1719876535
9,MEX89372,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Zacatecas,Zacatecas,,Zacatecas,22.7761,-102.5718,1,Pagina 24 Zacatecas,Subnational,"On 26 June 2024, in Zacatecas, Zacatecas, members of the Parents' Committee of the Valentin Gomez Farias primary school demonstrated at the facilities of the Zacatecas Ministry of Education to demand an alternative location for teaching classes to the more than 300 former students.",0,crowd size=no report,1721086509
