,id,year,prcp_mean,tavg_mean,latitude,longitude
123,MXM00076741,2024,68.91752577319588,283.375,18.133,-94.417
122,MXM00076741,2023,62.69285714285714,276.95652173913044,18.133,-94.417
39,MXM00076393,2024,53.811764705882354,246.1855072463768,25.733,-100.3
120,MXM00076737,2023,53.27985074626866,207.95364238410596,18.85,-97.1
113,MXM00076692,2024,52.99293286219081,272.5590778097983,19.15,-96.117
112,MXM00076692,2023,49.172413793103445,270.00643086816723,19.15,-96.117
124,MXM00076743,2023,44.57798165137615,284.8279220779221,17.983,-92.933
91,MXM00076647,2024,42.97032640949555,273.8904899135447,20.683,-88.2
121,MXM00076737,2024,42.85849056603774,211.04022988505747,18.85,-97.1
127,MXM00076750,2024,42.11387900355872,276.86494252873564,18.505,-88.327
148,MXM00076903,2023,41.30769230769231,294.76573426573424,14.917,-92.25
139,MXM00076840,2024,41.041800643086816,294.2005813953488,28.95,-107.8167
149,MXM00076903,2024,40.946360153256705,290.2923976608187,14.917,-92.25
89,MXM00076644,2024,40.65034965034965,274.66954022988506,20.983,-89.65
65,MXM00076556,2024,39.35190615835777,227.5287356321839,21.4833,-104.8833
111,MXM00076687,2024,38.80246913580247,204.01436781609195,19.55,-96.917
116,MXM00076698,2023,35.262910798122064,284.20353982300884,19.5667,-88.05
134,MXM00076805,2023,34.71084337349398,296.3790322580645,16.833,-99.933
125,MXM00076743,2024,32.947826086956525,284.5590778097983,17.983,-92.933
90,MXM00076647,2023,32.79801324503311,280.7539432176656,20.683,-88.2
138,MXM00076840,2023,32.06976744186046,299.0451612903226,28.95,-107.8167
135,MXM00076805,2024,31.53271028037383,300.79607843137256,16.833,-99.933
117,MXM00076698,2024,31.248995983935743,284.5053003533569,19.5667,-88.05
119,MXM00076726,2024,30.37410071942446,251.22701149425288,18.883,-99.233
63,MXM00076548,2024,29.41566265060241,263.82758620689657,22.2,-97.85
141,MXM00076843,2024,29.347826086956523,263.0402298850575,16.77,-93.341
53,MXM00076491,2024,29.306990881458965,255.9156976744186,23.733,-99.133
126,MXM00076750,2023,28.09442060085837,281.33698630136985,18.505,-88.327
44,MXM00076412,2023,26.326923076923077,270.73972602739724,24.765,-107.475
94,MXM00076656,2023,24.994350282485875,215.00454545454545,19.717,-103.467
48,MXM00076458,2023,24.46075085324232,264.7225806451613,23.2,-106.417
137,MXM00076833,2024,24.387283236994218,301.4448275862069,16.1667,-95.2
64,MXM00076556,2023,23.87828947368421,238.25205479452055,21.4833,-104.8833
110,MXM00076687,2023,23.59642857142857,200.17096774193547,19.55,-96.917
96,MXM00076658,2023,22.698863636363637,258.8054794520548,19.277,-103.577
108,MXM00076685,2023,22.399209486166008,185.1123287671233,19.158,-98.371
75,MXM00076585,2024,22.33157894736842,248.13684210526316,21.317,-98.817
74,MXM00076585,2023,22.269607843137255,259.2857142857143,21.317,-98.817
118,MXM00076726,2023,21.765,254.62465753424658,18.883,-99.233
95,MXM00076656,2024,20.865384615384617,215.22419928825622,19.717,-103.467
77,MXM00076593,2024,19.91393442622951,274.54117647058825,21.2833,-89.65
106,MXM00076683,2023,19.898245614035087,177.65551839464882,19.3167,-98.2333
145,MXM00076848,2024,19.814696485623003,201.0,16.25,-92.133
28,MXM00076311,2023,19.383495145631066,263.517094017094,26.7167,-108.3167
143,MXM00076845,2024,18.80188679245283,175.11494252873564,16.75,-92.633
109,MXM00076685,2024,18.783783783783782,181.6867816091954,19.158,-98.371
102,MXM00076675,2023,18.6113074204947,151.58199356913184,19.2833,-99.7
88,MXM00076644,2023,18.58167330677291,274.2301369863014,20.983,-89.65
115,MXM00076695,2024,18.349794238683128,276.54597701149424,19.817,-90.5
55,MXM00076499,2024,18.0390625,270.9179810725552,23.7667,-98.2
87,MXM00076640,2024,16.645390070921987,264.4347826086956,20.95,-97.4
92,MXM00076654,2023,16.418410041841003,283.3471337579618,19.05,-104.317
132,MXM00076775,2023,15.954887218045112,230.82622950819672,17.05,-96.717
131,MXM00076773,2024,15.707070707070708,228.68405797101448,17.8,-97.7667
129,MXM00076762,2024,15.518394648829432,237.1807580174927,17.55,-99.5
128,MXM00076762,2023,15.21602787456446,237.86928104575162,17.55,-99.5
97,MXM00076658,2024,15.023255813953488,252.38793103448276,19.277,-103.577
78,MXM00076612,2023,14.978798586572438,210.6058631921824,20.72,-103.38
114,MXM00076695,2023,14.953586497890296,282.3342465753425,19.817,-90.5
68,MXM00076573,2023,14.738317757009346,194.40506329113924,21.35,-101.917
99,MXM00076662,2024,14.655629139072847,217.04046242774567,20.0,-102.28
142,MXM00076845,2023,14.226190476190476,171.29090909090908,16.75,-92.633
144,MXM00076848,2023,13.74113475177305,199.32903225806453,16.25,-92.133
105,MXM00076680,2024,13.710963455149502,196.5304347826087,19.4,-99.183
107,MXM00076683,2024,13.383333333333333,178.0610465116279,19.3167,-98.2333
103,MXM00076675,2024,13.348920863309353,146.15204678362574,19.2833,-99.7
38,MXM00076393,2023,13.266666666666667,247.24014336917563,25.733,-100.3
79,MXM00076612,2024,13.032051282051283,209.90697674418604,20.72,-103.38
101,MXM00076665,2024,12.824451410658307,202.64367816091954,19.7,-101.183
62,MXM00076548,2023,12.14046822742475,261.3936507936508,22.2,-97.85
73,MXM00076581,2024,11.522012578616351,241.7674418604651,21.933,-99.983
146,MXM00076855,2023,11.469565217391304,289.5271966527197,15.683,-96.483
93,MXM00076654,2024,11.365546218487395,274.9736070381232,19.05,-104.317
86,MXM00076640,2023,11.245535714285714,258.57597173144876,20.95,-97.4
133,MXM00076775,2024,11.234113712374581,231.3536231884058,17.05,-96.717
76,MXM00076593,2023,11.205020920502092,275.5503144654088,21.2833,-89.65
52,MXM00076491,2023,11.108474576271187,263.46774193548384,23.733,-99.133
140,MXM00076843,2023,10.503968253968255,265.50958904109586,16.77,-93.341
70,MXM00076577,2023,10.206349206349206,216.96135265700482,21.0,-101.283
80,MXM00076625,2023,9.989864864864865,186.09315068493152,20.617,-100.186
130,MXM00076773,2023,9.818181818181818,221.01454545454544,17.8,-97.7667
104,MXM00076680,2023,9.721254355400697,193.9552715654952,19.4,-99.183
29,MXM00076311,2024,9.49586776859504,269.5884476534296,26.7167,-108.3167
49,MXM00076458,2024,9.471153846153847,259.6289855072464,23.2,-106.417
54,MXM00076499,2023,8.887179487179488,248.75714285714287,23.7667,-98.2
58,MXM00076525,2023,8.87719298245614,167.95416666666668,22.783,-102.567
98,MXM00076662,2023,8.823308270676693,217.08391608391608,20.0,-102.28
37,MXM00076390,2024,8.67986798679868,197.8793103448276,25.367,-101.017
32,MXM00076342,2023,8.642622950819671,251.11797752808988,26.883,-101.433
42,MXM00076405,2023,8.595238095238095,270.14098360655737,24.167,-110.3
50,MXM00076471,2023,8.583916083916083,185.5359477124183,23.633,-103.65
85,MXM00076634,2024,8.581881533101045,184.44057971014493,20.083,-98.367
147,MXM00076855,2024,8.54421768707483,288.5634674922601,15.683,-96.483
57,MXM00076519,2024,8.033519553072626,232.03557312252966,22.1,-103.267
18,MXM00076243,2023,7.9634551495016614,247.28493150684932,28.7,-100.5167
35,MXM00076382,2024,7.588588588588588,249.1005747126437,25.568,-103.411
59,MXM00076525,2024,7.528528528528528,157.72622478386168,22.783,-102.567
15,MXM00076220,2024,7.336734693877551,162.0071942446043,28.95,-107.817
40,MXM00076402,2023,7.099137931034483,251.19081272084804,24.95,-111.7
72,MXM00076581,2023,7.064655172413793,222.33061224489796,21.933,-99.983
31,MXM00076323,2024,6.981651376146789,222.70402298850576,26.933,-105.667
83,MXM00076632,2024,6.979591836734694,175.37878787878788,20.133,-98.75
100,MXM00076665,2023,6.853571428571429,196.90169491525424,19.7,-101.183
34,MXM00076382,2023,6.782894736842105,250.36712328767123,25.568,-103.411
46,MXM00076423,2023,6.747368421052632,208.7073954983923,24.05,-104.6
82,MXM00076632,2023,6.72972972972973,172.2937293729373,20.133,-98.75
66,MXM00076571,2023,6.708955223880597,176.83561643835617,21.705,-102.318
56,MXM00076519,2023,6.387096774193548,168.97222222222223,22.1,-103.267
81,MXM00076625,2024,6.091772151898734,192.55747126436782,20.617,-100.186
47,MXM00076423,2024,5.948805460750854,205.0864553314121,24.05,-104.6
19,MXM00076243,2024,5.664688427299703,250.18965517241378,28.7,-100.5167
84,MXM00076634,2023,5.545454545454546,178.93354430379748,20.083,-98.367
12,MXM00076160,2023,5.379888268156424,258.1506849315069,29.096,-111.048
25,MXM00076258,2024,5.184210526315789,268.5634328358209,27.367,-109.933
14,MXM00076220,2023,4.827160493827161,175.82051282051282,28.95,-107.817
36,MXM00076390,2023,4.724381625441696,206.1150684931507,25.367,-101.017
30,MXM00076323,2023,4.291946308724833,211.01582278481013,26.933,-105.667
71,MXM00076577,2024,4.255813953488372,217.34421364985164,21.0,-101.283
60,MXM00076539,2023,4.03030303030303,180.84931506849315,22.254,-100.931
136,MXM00076833,2023,3.9536423841059603,308.60425531914893,16.1667,-95.2
16,MXM00076225,2023,3.386206896551724,216.33881578947367,28.6333,-106.0833
61,MXM00076539,2024,3.3664596273291925,190.46264367816093,22.254,-100.931
11,MXM00076122,2024,3.2389380530973453,193.0977011494253,30.367,-107.95
23,MXM00076256,2024,3.0778816199376946,257.91616766467064,27.95,-110.767
69,MXM00076573,2024,3.0609756097560976,199.13297872340425,21.35,-101.917
10,MXM00076122,2023,2.9834437086092715,191.36942675159236,30.367,-107.95
24,MXM00076258,2023,2.9078947368421053,277.92105263157896,27.367,-109.933
67,MXM00076571,2024,2.6,197.89080459770116,21.705,-102.318
7,MXM00076113,2024,2.5789473684210527,247.53170731707317,30.7167,-111.8333
22,MXM00076256,2023,2.554054054054054,264.40531561461796,27.95,-110.767
33,MXM00076342,2024,2.4774774774774775,250.44092219020172,26.883,-101.433
17,MXM00076225,2024,2.367088607594937,215.1656804733728,28.6333,-106.0833
26,MXM00076305,2023,2.045751633986928,262.1945205479452,26.017,-111.333
51,MXM00076471,2024,1.6397306397306397,194.27377521613832,23.633,-103.65
13,MXM00076160,2024,1.6153846153846154,264.7787356321839,29.096,-111.048
6,MXM00076113,2023,1.5303030303030303,248.75641025641025,30.7167,-111.8333
4,MXM00076061,2023,1.3946188340807175,252.85593220338984,31.3,-113.55
45,MXM00076412,2024,1.2136752136752136,271.882183908046,24.765,-107.475
41,MXM00076402,2024,0.704225352112676,229.96646341463415,24.95,-111.7
43,MXM00076405,2024,0.16470588235294117,268.2260869565217,24.167,-110.3
0,MXM00076040,2023,0.11764705882352941,230.76666666666668,32.4,-115.1833
5,MXM00076061,2024,0.1021671826625387,236.20809248554914,31.3,-113.55
27,MXM00076305,2024,0.10091743119266056,259.9511494252874,26.017,-111.333
1,MXM00076040,2024,0.013215859030837005,255.11803278688524,32.4,-115.1833
20,MXM00076253,2023,0.0,257.4657534246575,27.393,-109.833
2,MXM00076055,2023,,272.25233644859816,31.033,-114.85
3,MXM00076055,2024,,257.9950495049505,31.033,-114.85
8,MXM00076118,2023,,166.44,30.3667,-109.6833
9,MXM00076118,2024,,225.16470588235293,30.3667,-109.6833
21,MXM00076253,2024,,262.9712643678161,27.393,-109.833
