,VIF,Feature
0,224.9343177160219,const
1,1.0281874410407743,prcp
2,1.7152955459528603,tavg
3,3.6338251068289535,AEROP.INTERNACIONAL
4,2.395491691106692,ALTAR (OBS)
5,3.5797398043103494,CHETUMAL INTL
6,2.4697628028997927,CHIHUAHUA
7,3.762936797798874,CHILPANCINGO  RO.
8,3.215094772371305,CHOIX
9,3.005246792206675,CIUDAD CONSTITUCION
10,2.9562343293640785,CIUDAD GUZMAN  JAL.
11,2.044227227812564,CIUDAD OBREGON  SON.
12,4.025877185487906,CIUDAD VICTORIA
13,2.779719922704599,COATZACOALCOS  VER.
14,3.0040739151600038,COLIMA
15,3.8726842091131464,COLONIA JUAN CARRAS
16,2.653673593305686,COLOTLAN  JAL.
17,3.9303425376652132,COMITAN  CHIS.
18,3.535418922852463,CUERNAVACA
19,3.143734751245639,CULIACAN INTL
20,3.7504016821209016,DURANGO  DGO.
21,3.100883852351182,EJIDO NUEVO LEON (OBS)
22,3.955433428004298,EMPALME  SON.
23,3.3004847319789365,FELIPE CARRILLO PUERTO (OBS)
24,3.9594688485604848,FRANCISCO SARABIA
25,2.8999292220342974,GENERAL IGNACIO P GARCIA INTL
26,3.9009635376483307,GUADALAJARA
27,2.9874765462717057,GUANAJUATO
28,3.5992817791074674,HACIENDA YLANG YLANG VERACRUZ
29,4.153756109437794,HERMANOS SERDAN INTL
30,4.038605546764409,HIDALGO DEL PARRAL   CHIH.
31,3.760832121761329,HUAJUAPAN DE LEON (DGE)
32,3.23959789376236,INGENIERO ALBERTO ACUNA ONGAY
33,4.033248545451764,JALAPA  VER.
34,3.683256205967808,JESUS TERAN INTL
35,4.119609877687552,LA PAZ (CITY)
36,1.8076598775480932,LAGOS DE MORENO  JAL.
37,4.008043360954461,LORETO
38,3.205177855542297,MANZANILLO
39,2.7546432694233673,MATLAPA  S.L.P.
40,3.837668468272414,MEXICO CITY
41,4.066101825751557,MONCLOVA
42,3.370998228304781,MONTERREY (CITY)
43,3.9918326534384043,MORELIA  MICH.
44,4.184043528860552,NUEVA CASAS GRANDES
45,3.776601568703466,OAXACA  OAX.
46,3.968261308631323,ORIZABA
47,3.79795152168158,PACHUCA  HGO.
48,4.103563558539063,PIEDRAS NEGRAS (OBS)
49,4.039603414907899,PONCIANO ARRIAGA INTL
50,3.2495956347398973,PROGRESO
51,3.703522051382548,PUERTO ANGEL  OAX.
52,3.981316535482065,PUERTO PENASCO  SON.
53,3.980683340508105,QUERETARO INTERCONTINENTAL
54,3.939737423897802,RIO VERDE  S.L.P.
55,2.588175379186103,SALINA CRUZ
56,3.8585546325603084,SALTILLO
57,4.029613093405084,SN. CRISTOBAL LAS CASAS  CHIS
58,3.804924194760676,SOMBRERETE  ZAC.
59,3.3569964417798723,SOTO LA MARINA (OBS)
60,4.047461703406205,TAMPICO  TAMPS
61,3.4073638413080154,TAPACHULA  CHIS
62,3.8542018009753054,TEMOSACHI (OBS)
63,2.9051111918471406,TEMOSACHIC
64,4.157569343061899,TEPIC (OBS)
65,3.8578351896711047,TLAXCALA DE XICONTECATL (DGE)
66,3.719075354601792,TOLUCA (OBS)
67,4.0669525916031,TORREON INTL
68,3.7275333378083793,TULANCINGO  HGO.
69,2.333389598443044,TUXPAN.VER.
70,4.08849162514701,VALLADOLID  YUC.
71,3.120902536542,VILLAHERMOSA  TAB.
72,4.203941818693225,ZACATECAS  ZAC. (LA BUFA  ZAC
73,3.8110599716563547,ZAMORA
